name,description,product_type,material,is_featured,is_active,sizes,prices,compare_prices,stock_quantities,colors,shapes
"נטע","","carpet","","no","yes","160×230|200×290|240×330|280×380","0|0|0|0","","13|10|6|1","בז',אפור",""
"אלירן","","carpet","","no","yes","160×230|200×290","0|0","","8|5","",""
"יוסף","","carpet","","no","yes","120×180|160×230|200×290","0|0|0","","1|4|8","לבן,בז',אפור",""
"יוסף עגול","","carpet","","no","yes","160×160","0","","2","לבן","עגול"
"לירון עגול","","carpet","","no","yes","160×160","0","","1","בז'","עגול"
"ירון","","carpet","","no","yes","200×290|240×330","0|0","","1|1","",""
"תלתן","","carpet","","no","yes","160×230|200×290|240×330","0|0|0","","2|4|1","בז',אפור",""
"אתני חדש פריז 575a","","carpet","","no","yes","160×230|200×290","0|0","","3|2","",""
"אתני חדש פריז 37902A","","carpet","","no","yes","160×230|200×290","0|0","","2|2","",""
"אופק","","carpet","","no","yes","160×230|200×290","0|0","","2|3","לבן,חום",""
"אוריה","","carpet","","no","yes","130×190|160×160|160×230|200×290|240×330","0|0|0|0|0","","4|2|7|12|1","בז',לבן,אפור",""
"אדם","","carpet","","no","yes","160×230|200×290","0|0","","4|1","חום,לבן",""
"לין","","carpet","","no","yes","160×230|200×290|240×330","0|0|0","","2|2|1","",""
"דפנה","","carpet","","no","yes","200×290","0","","3","",""
"מיילי","","carpet","","no","yes","160×230|200×290","0|0","","2|1","",""
"משי","","carpet","","no","yes","140×200|160×230|200×290|250×350","0|0|0|0","","4|9|18|2","אפור,בז'",""
"פארק בובל","","carpet","","no","yes","180×270","0","","4","בז'",""
"מיארה לולאות","","carpet","","no","yes","180×280","0","","1","לבן",""
