name,description,product_type,material,is_featured,is_active,sizes,prices,compare_prices,stock_quantities,variant_colors,colors,shapes
"נטע","","carpet","","no","yes","160×230|160×230|200×290|200×290|240×330|240×330|280×380|280×380","0|0|0|0|0|0|0|0","","7|6|5|5|3|3|1|0","בז'|אפור|בז'|אפור|בז'|אפור|בז'|אפור","בז',אפור",""
"אלירן","","carpet","","no","yes","160×230|200×290","0|0","","8|5","","",""
"יוסף","","carpet","","no","yes","120×180|120×180|120×180|160×230|160×230|160×230|200×290|200×290|200×290","0|0|0|0|0|0|0|0|0","","0|0|1|1|1|2|3|3|2","לבן|בז'|אפור|לבן|בז'|אפור|לבן|בז'|אפור","לבן,בז',אפור",""
"יוסף עגול","","carpet","","no","yes","160×160","0","","2","לבן","לבן","עגול"
"לירון עגול","","carpet","","no","yes","160×160","0","","1","בז'","בז'","עגול"
"ירון","","carpet","","no","yes","200×290|240×330","0|0","","1|1","","",""
"תלתן","","carpet","","no","yes","160×230|160×230|200×290|200×290|240×330|240×330","0|0|0|0|0|0","","1|1|2|2|1|0","בז'|אפור|בז'|אפור|בז'|אפור","בז',אפור",""
"אתני חדש פריז 575a","","carpet","","no","yes","160×230|200×290","0|0","","3|2","","",""
"אתני חדש פריז 37902A","","carpet","","no","yes","160×230|200×290","0|0","","2|2","","",""
"אופק","","carpet","","no","yes","160×230|160×230|200×290|200×290","0|0|0|0","","1|1|2|1","לבן|חום|לבן|חום","לבן,חום",""
"אוריה","","carpet","","no","yes","130×190|130×190|130×190|160×160|160×160|160×160|160×230|160×230|160×230|200×290|200×290|200×290|240×330|240×330|240×330","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","","1|2|1|1|0|1|2|3|2|4|4|4|0|1|0","בז'|לבן|אפור|בז'|לבן|אפור|בז'|לבן|אפור|בז'|לבן|אפור|בז'|לבן|אפור","בז',לבן,אפור",""
"אדם","","carpet","","no","yes","160×230|160×230|200×290|200×290","0|0|0|0","","2|2|0|1","חום|לבן|חום|לבן","חום,לבן",""
"לין","","carpet","","no","yes","160×230|200×290|240×330","0|0|0","","2|2|1","","",""
"דפנה","","carpet","","no","yes","200×290","0","","3","","",""
"מיילי","","carpet","","no","yes","160×230|200×290","0|0","","2|1","","",""
"משי","","carpet","","no","yes","140×200|140×200|160×230|160×230|200×290|200×290|250×350|250×350","0|0|0|0|0|0|0|0","","2|2|5|4|9|9|1|1","אפור|בז'|אפור|בז'|אפור|בז'|אפור|בז'","אפור,בז'",""
"פארק בובל","","carpet","","no","yes","180×270","0","","4","בז'","בז'",""
"מיארה לולאות","","carpet","","no","yes","180×280","0","","1","לבן","לבן",""
